"","state","number of Deposits","id"
"1","Alabama",263,1
"2","Alaska",6702,2
"3","Arizona",3042,4
"4","Arkansas",0,5
"5","California",22862,6
"6","Colorado",5022,8
"7","Connecticut",6,9
"8","Delaware",0,10
"9","District of Columbia",0,11
"10","Florida",0,12
"11","Georgia",475,13
"12","Hawaii",0,15
"13","Idaho",3073,16
"14","Illinois",1,17
"15","Indiana",0,18
"16","Iowa",0,19
"17","Kansas",0,20
"18","Kentucky",0,21
"19","Louisiana",0,22
"20","Maine",69,23
"21","Maryland",28,24
"22","Massachusetts",5,25
"23","Michigan",45,26
"24","Minnesota",18,27
"25","Mississippi",0,28
"26","Missouri",8,29
"27","Montana",3606,30
"28","Nebraska",0,31
"29","Nevada",5403,32
"30","New Hampshire",11,33
"31","New Jersey",0,34
"32","New Mexico",981,35
"33","New York",1,36
"34","North Carolina",524,37
"35","North Dakota",0,38
"36","Ohio",0,39
"37","Oklahoma",0,40
"38","Oregon",4510,41
"39","Pennsylvania",3,42
"40","Rhode Island",2,44
"41","South Carolina",258,45
"42","South Dakota",486,46
"43","Tennessee",124,47
"44","Texas",34,48
"45","Utah",794,49
"46","Vermont",20,50
"47","Virginia",392,51
"48","Washington",2428,53
"49","West Virginia",0,54
"50","Wisconsin",3,55
"51","Wyoming",213,56
