,Metal,Commod1,Commod2,Commod3,Commod4,Commod5
2,Aluminum,1240,80,24,14,16
3,Antimony,801,609,330,315,297
4,Arsenic,87,300,259,276,229
5,Beryllium,355,77,36,37,15
6,Bismuth,44,137,98,106,92
7,Cadmium,3,22,16,51,25
8,Chromium,3653,512,197,74,44
9,Coal,12,17,7,1,3
10,Cobalt,121,256,205,93,74
11,Copper,12985,8897,5587,3173,1714
12,Gallium,7,2,1,1,2
13,Gold,56559,8055,4628,2538,1179
14,Iridium,2,19,33,56,17
15,Iron,12197,3986,837,531,258
16,Lead,10128,9195,6563,3415,904
17,Lithium,72,38,12,3,4
18,Magnesite,403,26,12,12,4
19,Manganese,3411,3240,496,197,143
20,Mercury,2430,469,236,112,59
21,Molybdenum,1015,864,602,387,284
22,Nickel,416,346,214,149,66
23,Niobium,87,65,49,17,11
24,Oil,1,118,131,1,1
25,Osmium,3,11,19,16,7
26,Palladium,14,55,83,40,30
27,PGE,38,131,53,32,15
28,Platinum,96,456,130,75,39
29,REE,208,255,109,87,41
30,Rhenium,4,19,7,4,4
31,Rhodium,4,37,26,28,23
32,Ruthenium,3,5,20,14,37
33,Selenium,7,27,30,16,5
34,Silica,1024,143,84,58,26
35,Silver,9865,19548,7564,3310,1082
36,Sulfur,91,119,66,50,37
37,Tantalum,21,29,49,34,18
38,Tellurium,3,36,39,36,28
39,Thorium,474,178,128,54,52
40,Tin,345,367,218,94,69
41,Titanium,451,434,199,70,43
42,Tungsten,3854,1257,601,331,209
43,Uranium,9722,3116,502,185,117
44,Vanadium,441,2364,1118,105,69
45,Zinc,4506,7069,3595,2882,2519
46,Zirconium,69,88,80,59,41
